seed,fold,participant_id,role
2026,1,12,train
2026,1,13,train
2026,1,14,train
2026,1,15,test
2026,1,16,test
2026,1,17,test
2026,1,18,train
2026,1,19,test
2026,1,20,train
2026,1,21,train
2026,1,22,train
2026,1,23,train
2026,2,01,train
2026,2,02,train
2026,2,03,train
2026,2,04,train
2026,2,05,test
2026,2,06,train
2026,2,07,train
2026,2,08,train
2026,2,09,test
2026,2,10,train
2026,2,11,test
2026,2,12,train
2026,2,13,train
2026,2,14,train
2026,2,15,train
2026,2,16,train
2026,2,17,train
2026,2,18,test
2026,2,19,train
2026,2,20,train
2026,2,21,train
2026,2,22,train
2026,2,23,test
2026,3,01,test
2026,3,02,train
2026,3,03,train
2026,3,04,train
2026,3,05,train
2026,3,06,train
2026,3,07,train
2026,3,08,test
2026,3,09,train
2026,3,10,test
2026,3,11,train
2026,3,12,test
2026,3,13,train
2026,3,14,train
2026,3,15,train
2026,3,16,train
2026,3,17,train
2026,3,18,train
2026,3,19,train
2026,3,20,test
2026,3,21,train
2026,3,22,train
2026,3,23,train
2026,4,01,train
2026,4,02,train
2026,4,03,test
2026,4,04,train
2026,4,05,train
2026,4,06,test
2026,4,07,train
2026,4,08,train
2026,4,09,train
2026,4,10,train
2026,4,11,train
2026,4,12,train
2026,4,13,test
2026,4,14,train
2026,4,15,train
2026,4,16,train
2026,4,17,train
2026,4,18,train
2026,4,19,train
2026,4,20,train
2026,4,21,train
2026,4,22,test
2026,4,23,train
2026,5,01,train
2026,5,02,test
2026,5,03,train
2026,5,04,train
2026,5,05,train
2026,5,06,train
2026,5,07,test
2026,5,08,train
2026,5,09,train
2026,5,10,train
2026,5,11,train
2026,5,12,train
2026,5,13,train
2026,5,14,test
2026,5,15,train
2026,5,16,train
2026,5,17,train
2026,5,18,train
2026,5,19,train
2026,5,20,train
2026,5,21,test
2026,5,22,train
2026,5,23,train
3407,1,01,train
3407,1,02,train
3407,1,03,train
3407,1,04,train
3407,1,05,train
3407,1,06,test
3407,1,07,train
3407,1,08,train
3407,1,09,test
3407,1,10,test
3407,1,11,train
3407,1,12,train
3407,1,13,train
3407,1,14,test
3407,1,15,train
3407,1,16,train
3407,1,17,train
3407,1,18,train
3407,1,19,test
3407,1,20,train
3407,1,21,train
3407,1,22,train
3407,1,23,train
3407,2,01,train
3407,2,02,train
3407,2,03,test
3407,2,04,test
3407,2,05,train
3407,2,06,train
3407,2,07,train
3407,2,08,train
3407,2,09,train
3407,2,10,train
3407,2,11,train
3407,2,12,train
3407,2,13,train
3407,2,14,train
3407,2,15,train
3407,2,16,test
3407,2,17,test
3407,2,18,test
3407,2,19,train
3407,2,20,train
3407,2,21,train
3407,2,22,train
3407,2,23,train
3407,3,01,test
3407,3,02,train
3407,3,03,train
3407,3,04,train
3407,3,05,train
3407,3,06,train
3407,3,07,train
3407,3,08,train
3407,3,09,train
3407,3,10,train
3407,3,11,train
3407,3,12,train
3407,3,13,train
3407,3,14,train
3407,3,15,test
3407,3,16,train
3407,3,17,train
3407,3,18,train
3407,3,19,train
3407,3,20,train
3407,3,21,test
3407,3,22,test
3407,3,23,test
3407,4,01,train
3407,4,02,test
3407,4,03,train
3407,4,04,train
3407,4,05,train
3407,4,06,train
3407,4,07,test
3407,4,08,train
3407,4,09,train
3407,4,10,train
3407,4,11,test
3407,4,12,train
3407,4,13,test
3407,4,14,train
3407,4,15,train
3407,4,16,train
3407,4,17,train
3407,4,18,train
3407,4,19,train
3407,4,20,train
3407,4,21,train
3407,4,22,train
3407,4,23,train
3407,5,01,train
3407,5,02,train
3407,5,03,train
3407,5,04,train
3407,5,05,test
3407,5,06,train
3407,5,07,train
3407,5,08,test
3407,5,09,train
3407,5,10,train
3407,5,11,train
3407,5,12,test
3407,5,13,train
3407,5,14,train
3407,5,15,train
3407,5,16,train
3407,5,17,train
3407,5,18,train
3407,5,19,train
3407,5,20,test
3407,5,21,train
3407,5,22,train
3407,5,23,train
